run,iteration,samples,cost,time
0,0,300,6.43378,1.50419
0,1,300,2.71248,1.76798
0,2,300,1.73075,1.72986
0,3,300,1.29021,1.74281
0,0,600,4.90341,2.96
0,1,600,1.72119,5.56103
0,2,600,1.13562,6.40992
0,3,600,0.831704,5.36202
0,0,900,4.09359,5.48394
0,1,900,1.46805,9.86699
0,2,900,1.04866,9.82029
0,3,900,0.807115,10.1336
1,0,300,5.69122,1.65569
1,1,300,2.29614,2.12929
1,2,300,1.49626,2.04022
1,3,300,1.03049,1.91544
1,0,600,4.45739,3.39084
1,1,600,1.83145,4.52381
1,2,600,1.0508,5.09765
1,3,600,0.840346,5.22661
1,0,900,4.23652,5.61529
1,1,900,1.65008,9.3553
1,2,900,0.961493,10.4631
1,3,900,0.807914,10.1091
2,0,300,6.44011,1.66487
2,1,300,2.98805,1.90027
2,2,300,1.741,2.09119
2,3,300,1.18275,1.96993
2,0,600,4.40084,3.37054
2,1,600,1.85614,5.53049
2,2,600,1.20092,6.56298
2,3,600,0.876506,5.99421
2,0,900,3.77508,5.80671
2,1,900,1.40237,8.64625
2,2,900,1.04833,9.41684
2,3,900,0.783274,10.8768
3,0,300,5.89487,1.6423
3,1,300,2.2387,1.96745
3,2,300,1.25352,2.06128
3,3,300,0.929366,1.92323
3,0,600,4.38211,3.41524
3,1,600,1.64015,5.19323
3,2,600,1.11045,5.64876
3,3,600,0.841374,5.07872
3,0,900,4.08826,5.52506
3,1,900,1.6615,8.48194
3,2,900,1.09523,9.56026
3,3,900,0.848081,11.6154
4,0,300,5.25016,1.66176
4,1,300,2.07203,1.97476
4,2,300,1.26579,1.80282
4,3,300,0.917054,1.92112
4,0,600,4.94481,3.42602
4,1,600,1.82213,5.60533
4,2,600,1.20925,5.07333
4,3,600,0.86545,5.28077
4,0,900,4.4687,5.4772
4,1,900,1.70978,11.8804
4,2,900,1.06562,10.5582
4,3,900,0.809673,11.9988
5,0,300,6.35518,1.63449
5,1,300,2.46023,2.05653
5,2,300,1.59482,1.96991
5,3,300,1.08778,1.9599
5,0,600,4.39706,3.61876
5,1,600,1.6862,5.55573
5,2,600,1.1414,5.07741
5,3,600,0.853038,5.04384
5,0,900,3.9804,5.54128
5,1,900,1.41301,10.1629
5,2,900,1.02678,9.75352
5,3,900,0.81133,9.48483
6,0,300,5.15476,1.6493
6,1,300,2.27776,2.0967
6,2,300,1.46634,2.0912
6,3,300,1.07626,2.25144
6,0,600,4.77034,3.5563
6,1,600,1.84751,5.03566
6,2,600,1.24079,5.16469
6,3,600,0.886168,5.12716
6,0,900,4.08774,5.4656
6,1,900,1.56819,8.93639
6,2,900,0.984713,9.92375
6,3,900,0.816748,10.6411
7,0,300,6.16939,1.70169
7,1,300,2.32235,2.34123
7,2,300,1.31117,2.08994
7,3,300,0.912675,2.16835
7,0,600,4.00879,3.57531
7,1,600,1.66142,5.13655
7,2,600,1.12412,5.11262
7,3,600,0.859083,5.82583
7,0,900,4.36929,5.58793
7,1,900,1.60939,9.37911
7,2,900,0.998128,10.3459
7,3,900,0.813854,11.3204
8,0,300,5.63687,1.69614
8,1,300,2.41885,2.15242
8,2,300,1.18745,1.87288
8,3,300,0.894726,1.96278
8,0,600,4.10757,3.51315
8,1,600,1.81122,4.71024
8,2,600,1.19335,5.47
8,3,600,0.88338,4.97718
8,0,900,3.80943,5.74115
8,1,900,1.51565,11.0101
8,2,900,1.07793,11.8163
8,3,900,0.812516,11.8446
9,0,300,5.35184,1.64965
9,1,300,2.53966,2.03096
9,2,300,1.56771,2.01385
9,3,300,1.11494,1.90689
9,0,600,4.97134,3.41468
9,1,600,2.23651,5.70946
9,2,600,1.27665,6.32948
9,3,600,0.831217,6.20808
9,0,900,3.6023,5.45213
9,1,900,1.60965,8.16436
9,2,900,1.02995,8.48587
9,3,900,0.81057,8.95336
