run,samples,cost,time
0,300,6.43378,1.41065
0,600,4.35828,3.11353
0,900,4.02968,4.93833
0,1200,3.50989,7.16867
0,1800,3.49043,12.8017
0,2500,2.92674,23.9686
0,3000,2.9452,30.1825
0,3600,2.5765,37.0429
1,300,5.87938,1.70962
1,600,4.68183,3.82666
1,900,4.35247,5.94514
1,1200,3.64989,8.34438
1,1800,3.50821,13.5913
1,2500,3.05399,21.6954
1,3000,2.95221,27.4313
1,3600,2.71106,35.6216
2,300,5.76761,1.56611
2,600,4.59376,3.48015
2,900,3.93466,5.43934
2,1200,2.82706,7.67446
2,1800,3.40855,12.8975
2,2500,3.28902,20.5069
2,3000,2.87069,26.7476
2,3600,2.74845,36.0502
3,300,5.05718,1.5306
3,600,4.74654,3.28761
3,900,4.02177,5.39246
3,1200,3.57115,7.80851
3,1800,3.34654,13.0846
3,2500,3.17959,21.0333
3,3000,2.81606,27.9184
3,3600,2.79198,36.5408
4,300,5.50901,1.64567
4,600,4.61705,3.52262
4,900,3.36847,5.62668
4,1200,3.6816,8.60984
4,1800,3.39252,15.2646
4,2500,3.00531,22.393
4,3000,2.9618,29.8509
4,3600,2.65298,40.2185
5,300,6.71519,1.65697
5,600,4.78561,4.15292
5,900,4.32502,5.65405
5,1200,3.98434,8.67291
5,1800,3.45235,16.596
5,2500,3.14032,22.0451
5,3000,2.91614,28.3596
5,3600,2.84414,38.5786
6,300,6.20789,1.9723
6,600,4.56741,4.15481
6,900,4.43331,6.16037
6,1200,3.74663,8.37466
6,1800,3.44455,14.0103
6,2500,2.59059,22.2875
6,3000,2.83954,29.1281
6,3600,2.77212,38.693
7,300,5.76716,1.78943
7,600,4.25382,3.76798
7,900,3.93298,5.88278
7,1200,3.94305,8.24825
7,1800,3.56368,14.0518
7,2500,2.91075,21.2452
7,3000,2.9889,28.4808
7,3600,2.82389,36.4926
8,300,6.03626,1.69231
8,600,4.70674,3.51931
8,900,3.75663,5.66813
8,1200,3.86826,7.77614
8,1800,3.36806,13.3947
8,2500,2.91987,20.7633
8,3000,2.58345,27.6032
8,3600,2.66719,36.9927
9,300,6.34545,1.63955
9,600,4.54582,3.55272
9,900,4.32816,5.88947
9,1200,3.65618,7.87255
9,1800,3.41641,13.472
9,2500,3.15177,21.1791
9,3000,2.66926,28.066
9,3600,2.82118,36.2977
