run,samples,cost,time
0,300,5.44116,1.16096
0,600,5.54741,2.12572
0,900,3.99488,3.29717
0,1200,4.08162,4.35603
0,1800,3.32201,6.78612
0,2500,2.94104,9.71915
0,3000,3.24422,11.7841
0,3600,3.10738,14.5719
1,300,5.26812,1.06434
1,600,4.73369,2.13547
1,900,4.4672,3.22619
1,1200,4.27358,4.36368
1,1800,3.60855,6.68725
1,2500,3.13129,9.55973
1,3000,3.16124,11.7151
1,3600,2.86398,14.5497
2,300,7.17258,1.07112
2,600,5.25406,2.13134
2,900,4.67351,3.24058
2,1200,3.79218,4.37691
2,1800,3.54609,6.73884
2,2500,3.00865,9.64355
2,3000,3.19723,11.8636
2,3600,2.82914,14.5362
3,300,6.0907,1.05739
3,600,5.22417,2.13997
3,900,4.22875,3.27322
3,1200,3.61084,4.39453
3,1800,3.70561,6.76559
3,2500,3.23157,9.57276
3,3000,3.27048,11.6539
3,3600,2.86638,14.8398
4,300,5.72542,1.054
4,600,5.10182,2.17503
4,900,4.09421,3.33507
4,1200,3.75869,4.53182
4,1800,3.68385,7.79386
4,2500,3.18417,9.59839
4,3000,2.84454,11.9446
4,3600,2.97397,14.4319
5,300,6.18259,1.04742
5,600,4.00586,2.10061
5,900,3.78258,3.23967
5,1200,4.23514,4.44079
5,1800,3.49202,7.02605
5,2500,3.37032,10.4073
5,3000,2.92753,12.7765
5,3600,2.95163,15.4287
6,300,5.17297,1.06835
6,600,4.68259,2.22382
6,900,4.41559,3.32374
6,1200,3.65978,5.31991
6,1800,3.55704,7.10859
6,2500,3.43281,9.89651
6,3000,2.96614,12.368
6,3600,2.89987,16.3511
7,300,5.45977,1.07655
7,600,4.56712,2.21182
7,900,4.52086,3.25909
7,1200,4.00696,4.65168
7,1800,3.48469,7.17867
7,2500,2.95603,10.4624
7,3000,3.19127,13.0285
7,3600,3.10998,15.1046
8,300,5.61397,1.07816
8,600,4.57554,2.30001
8,900,4.05328,3.27903
8,1200,4.06609,4.64347
8,1800,3.33774,7.29372
8,2500,3.25534,10.9746
8,3000,2.63392,13.4872
8,3600,3.06019,16.5587
9,300,6.83679,1.12668
9,600,5.47432,2.42158
9,900,4.40137,3.46858
9,1200,4.24575,4.65431
9,1800,3.37142,7.27445
9,2500,3.47148,11.1991
9,3000,2.66012,14.213
9,3600,2.90289,15.2686
