run,samples,cost,time
0,300,1.75067,1.15192
0,600,1.18366,2.15871
0,900,0.855178,3.25905
0,1200,0.764333,4.32167
0,1800,0.63294,6.70597
0,2500,0.436296,9.44917
0,3000,0.425778,11.6604
0,3600,0.357232,14.2742
1,300,2.19929,1.04656
1,600,1.32586,2.11554
1,900,0.841919,3.20531
1,1200,0.781496,4.30723
1,1800,0.492741,6.60951
1,2500,0.505473,9.41461
1,3000,0.454073,11.6261
1,3600,0.398236,14.3057
2,300,1.27936,1.04182
2,600,0.99852,2.11848
2,900,0.694184,3.19887
2,1200,0.800597,4.31269
2,1800,0.699928,6.57546
2,2500,0.460397,9.7111
2,3000,0.430138,11.5948
2,3600,0.365532,14.3994
3,300,2.08147,1.04251
3,600,1.08658,2.12837
3,900,0.990699,3.20399
3,1200,0.771241,4.31716
3,1800,0.525415,6.63062
3,2500,0.454966,9.45556
3,3000,0.374638,11.5629
3,3600,0.334843,14.2233
4,300,1.94133,1.04403
4,600,1.37474,2.11933
4,900,0.853147,3.20213
4,1200,0.755796,4.38881
4,1800,0.521125,6.72378
4,2500,0.423025,9.48614
4,3000,0.351589,11.6441
4,3600,0.265057,14.673
5,300,1.72983,1.04361
5,600,1.41854,2.61163
5,900,0.856712,4.44783
5,1200,0.639391,5.03625
5,1800,0.570138,7.19797
5,2500,0.425716,9.73927
5,3000,0.304298,11.9863
5,3600,0.353081,14.7956
6,300,1.57555,1.07074
6,600,1.42659,2.2606
6,900,0.925166,3.28195
6,1200,0.854683,4.43651
6,1800,0.460764,6.77264
6,2500,0.411426,9.78456
6,3000,0.391391,11.9392
6,3600,0.346719,14.4125
7,300,1.79941,1.04819
7,600,0.799418,2.11384
7,900,0.607789,3.22716
7,1200,0.704491,4.37457
7,1800,0.493066,6.687
7,2500,0.419654,9.4478
7,3000,0.383986,11.8773
7,3600,0.348147,14.2562
8,300,1.75636,1.03608
8,600,1.42859,2.09507
8,900,0.976875,3.20651
8,1200,0.621217,4.31644
8,1800,0.612963,6.66683
8,2500,0.387691,9.50261
8,3000,0.346006,11.5728
8,3600,0.365591,16.2335
9,300,1.78719,1.40572
9,600,1.38363,2.65097
9,900,0.882234,3.74752
9,1200,0.760692,4.91651
9,1800,0.631705,7.68549
9,2500,0.477368,11.1019
9,3000,0.442505,13.3385
9,3600,0.291461,14.3083
