run,samples,cost,time
0,300,1.22602,1.64592
0,600,1.27278,3.5287
0,900,0.791537,5.7869
0,1200,0.620301,8.2855
0,1800,0.440096,14.6197
0,2500,0.360809,23.8295
0,3000,0.33728,32.3847
0,3600,0.284161,41.9975
1,300,0.910358,1.70156
1,600,0.877381,3.50551
1,900,0.655214,5.70078
1,1200,0.703111,8.19401
1,1800,0.412431,14.6887
1,2500,0.309371,23.6015
1,3000,0.235382,32.3499
1,3600,0.300403,42.5736
2,300,2.14677,1.58972
2,600,0.825513,3.48414
2,900,0.773773,5.80172
2,1200,0.694498,8.41859
2,1800,0.465022,14.3682
2,2500,0.35723,24.1228
2,3000,0.319311,30.6904
2,3600,0.347269,41.8252
3,300,1.40967,1.57322
3,600,1.14158,3.5401
3,900,0.480411,5.9128
3,1200,0.565695,8.37107
3,1800,0.467037,14.6657
3,2500,0.347046,23.4752
3,3000,0.343131,31.497
3,3600,0.267872,42.5753
4,300,1.77481,1.67351
4,600,0.936521,3.70064
4,900,0.729665,5.96515
4,1200,0.585723,8.6664
4,1800,0.451032,14.5722
4,2500,0.318538,23.8792
4,3000,0.348851,31.793
4,3600,0.241717,45.5889
5,300,1.7321,1.63591
5,600,1.1278,3.65646
5,900,0.777938,5.83685
5,1200,0.68558,8.22079
5,1800,0.505203,14.6368
5,2500,0.357618,23.6664
5,3000,0.317144,34.485
5,3600,0.286671,45.8043
6,300,1.4731,1.61333
6,600,0.955001,3.66257
6,900,0.64908,6.07524
6,1200,0.690457,8.64677
6,1800,0.391863,15.3992
6,2500,0.403642,24.9701
6,3000,0.338902,32.5544
6,3600,0.25708,41.1939
7,300,2.09956,1.64582
7,600,1.05549,3.56999
7,900,0.721703,5.81839
7,1200,0.779543,8.30609
7,1800,0.419718,14.6197
7,2500,0.376225,23.9574
7,3000,0.323305,32.2695
7,3600,0.268545,46.4701
8,300,1.60819,1.73405
8,600,0.785431,3.6486
8,900,0.870164,5.92951
8,1200,0.534199,8.50319
8,1800,0.388779,14.7239
8,2500,0.365141,24.3405
8,3000,0.308856,31.2865
8,3600,0.327566,43.1328
9,300,1.72204,1.66712
9,600,0.948818,3.78134
9,900,0.540493,6.07379
9,1200,0.543033,8.5581
9,1800,0.450728,14.9297
9,2500,0.339312,24.5787
9,3000,0.338618,32.6097
9,3600,0.240687,43.6069
