run,iteration,samples,cost,time
0,0,300,1.69726,1.17001
0,1,300,0.451947,1.11791
0,2,300,0.13523,1.01596
0,3,300,0.0632975,0.987422
0,0,600,0.765447,2.10228
0,1,600,0.150628,2.20409
0,2,600,0.0580175,2.13931
0,3,600,0.0388063,2.14583
0,0,900,0.819416,3.21913
0,1,900,0.120154,3.63043
0,2,900,0.0528685,3.19234
0,3,900,0.0388993,3.24993
1,0,300,1.40399,1.04358
1,1,300,0.2547,1.07676
1,2,300,0.108409,0.990404
1,3,300,0.0470664,0.99262
1,0,600,1.2565,2.09738
1,1,600,0.242002,2.23919
1,2,600,0.0746956,2.26574
1,3,600,0.0451113,2.14445
1,0,900,0.737218,3.19254
1,1,900,0.12105,3.52504
1,2,900,0.0526194,3.49147
1,3,900,0.037895,3.40073
2,0,300,1.42877,1.04253
2,1,300,0.434528,1.04239
2,2,300,0.114275,0.958206
2,3,300,0.0532153,0.995248
2,0,600,1.09394,2.11843
2,1,600,0.163409,2.40919
2,2,600,0.0592706,2.15385
2,3,600,0.0401669,2.13202
2,0,900,0.80986,3.22738
2,1,900,0.134948,3.7702
2,2,900,0.0523865,3.65033
2,3,900,0.0381547,3.37021
3,0,300,2.0469,1.03978
3,1,300,0.226819,1.09021
3,2,300,0.074765,1.00907
3,3,300,0.0426117,0.984956
3,0,600,1.12176,2.10057
3,1,600,0.127969,2.42276
3,2,600,0.0589629,2.26836
3,3,600,0.040692,2.14571
3,0,900,0.643832,3.23772
3,1,900,0.116075,3.96076
3,2,900,0.0555577,3.2862
3,3,900,0.0374071,3.37025
4,0,300,2.17481,1.0349
4,1,300,0.403215,1.09939
4,2,300,0.139951,1.01138
4,3,300,0.077405,0.961855
4,0,600,0.978204,2.09421
4,1,600,0.130135,2.21356
4,2,600,0.0557349,2.21048
4,3,600,0.0392051,2.15628
4,0,900,1.03354,3.18098
4,1,900,0.109141,3.62745
4,2,900,0.0509744,3.2529
4,3,900,0.0390814,3.3441
5,0,300,1.55249,1.05333
5,1,300,0.266482,1.10695
5,2,300,0.068578,0.997007
5,3,300,0.0461124,0.993032
5,0,600,0.980216,2.13246
5,1,600,0.110069,2.21438
5,2,600,0.0590735,2.13459
5,3,600,0.0408309,2.1109
5,0,900,0.70309,3.19858
5,1,900,0.0952879,3.7107
5,2,900,0.0537106,3.22329
5,3,900,0.0383385,3.41155
6,0,300,2.51066,1.03994
6,1,300,0.240151,1.12671
6,2,300,0.0734034,1.0187
6,3,300,0.0445118,0.992635
6,0,600,1.18875,2.10786
6,1,600,0.145662,2.2782
6,2,600,0.0567356,2.10971
6,3,600,0.0406377,2.18463
6,0,900,0.795685,3.18671
6,1,900,0.0934847,3.47328
6,2,900,0.050195,3.22448
6,3,900,0.0383065,3.38239
7,0,300,2.40438,1.03102
7,1,300,0.230239,1.04154
7,2,300,0.0671203,1.0039
7,3,300,0.045198,0.99918
7,0,600,0.980108,2.1083
7,1,600,0.128388,2.20367
7,2,600,0.0544769,2.32969
7,3,600,0.0408443,2.09692
7,0,900,0.874168,3.17505
7,1,900,0.104036,3.40605
7,2,900,0.0501104,3.48876
7,3,900,0.0380957,3.43963
8,0,300,1.74217,1.03223
8,1,300,0.226723,1.12389
8,2,300,0.0792017,0.954256
8,3,300,0.0465828,0.992104
8,0,600,1.19697,2.12308
8,1,600,0.16099,2.29265
8,2,600,0.0569725,2.18833
8,3,600,0.0397741,2.11214
8,0,900,1.06752,3.21462
8,1,900,0.126892,3.79954
8,2,900,0.0523211,3.47494
8,3,900,0.0398918,3.35965
9,0,300,2.33178,1.0553
9,1,300,0.252779,1.13761
9,2,300,0.0617725,1.03623
9,3,300,0.0426352,0.97685
9,0,600,1.17747,2.1105
9,1,600,0.152278,2.44516
9,2,600,0.0591342,2.18719
9,3,600,0.0403082,2.12771
9,0,900,1.18175,3.19118
9,1,900,0.141231,3.51727
9,2,900,0.0539997,3.26871
9,3,900,0.0390238,3.46085
